created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Nov 13 10:49:28 +0000 2023;1724016624087269756;"Once again, I’d like to thank all the Centrist Mums and Dads who enabled Cameron and Starmer   The genocide-enabling sensibles who pretended Corbyn was Hitler just to avoid losing an ounce of privilege";9;35;576;1731;en;47975126;1724016624087269756;TheMendozaWoman;https://twitter.com/TheMendozaWoman/status/1724016624087269756
Mon Nov 13 10:47:24 +0000 2023;1724016103196652029;"Zionism has undeniably hijacked &amp  exploited the Holocaust to justify its settler-colony. Every major Jewish org is in lockstep w/ Israel &amp  that includes the “never again” folks. If they really cared about stopping genocide you’d see them standing with 🇵🇸 instead of backing Israel";3;10;170;418;en;2858419898;1724016103196652029;agelender;https://twitter.com/agelender/status/1724016103196652029
Mon Nov 13 10:46:18 +0000 2023;1724015827974795265;"PMX obsessed with PR, offering his Thoughts and Prayers™ while Ireland is bringing Israel to the International Criminal Court.  What is his government's contribution? Proposing we exploit the refugees escaping genocide as cheap labour for dirty, dangerous, difficult jobs.";3;7;114;201;en;1426168307837636608;1724015827974795265;ShailendraGavin;https://twitter.com/ShailendraGavin/status/1724015827974795265
Mon Nov 13 10:45:16 +0000 2023;1724015565919203345;"FROM PALESTINE TO THE PHILIPPINES, STOP THE US WAR MACHINE!  Join peace-loving Filipinos as we hold the United States accountable on its unwavering support in the genocide of the Palestinian people and its role in the oppression of peoples around the world.  #FreePalestine https://t.co/wa30IqeaZq";4;0;148;262;en;904605876786388993;1724015565919203345;Bahaghari_PH;https://twitter.com/Bahaghari_PH/status/1724015565919203345
Mon Nov 13 10:44:28 +0000 2023;1724015364395434272;"This is what the genocide was all about. #gaza";17;231;228;1041;en;312696314;1724015364395434272;Partisangirl;https://twitter.com/Partisangirl/status/1724015364395434272
Mon Nov 13 10:41:58 +0000 2023;1724014735652188640;"US troops are on the ground in Gaza to help the Zionists massacre more Palestinians. The US is actively aiding in genocide. https://t.co/nfv5yUitHR";21;104;300;448;en;2158616996;1724014735652188640;thatdayin1992;https://twitter.com/thatdayin1992/status/1724014735652188640
Mon Nov 13 10:39:51 +0000 2023;1724014205093765302;"Incredible interview from @marclamonthill of former US-Israel ambassador. First, he cant name a single international law to justify Israel’s genocide, then he demands to know when Marc’s been to Gaza. Finally when questioned about Israel’s lies replies: “this is holocaust denial” https://t.co/3OLOYanrJB";80;66;1156;2494;en;41315840;1724014205093765302;broseph_stalin;https://twitter.com/broseph_stalin/status/1724014205093765302
Mon Nov 13 10:36:43 +0000 2023;1724013414740349287;""BBC is complicit in genocide" Seen on a British Broadcasting Corporation building in Leeds, England https://t.co/FsCTEPUvxU";86;35;6049;26809;en;1132946492799430656;1724013414740349287;GraffitiRadical;https://twitter.com/GraffitiRadical/status/1724013414740349287
Mon Nov 13 10:33:15 +0000 2023;1724012542664609929;"Your ability to listen is as good as your ability to recall facts.  I said much of the political establishment and media were supporting Israel’s murderous onslaught.  That’s a fact.  *You* brought up genocide, and I said I deferred to genocide scholars on that.";7;123;362;2911;en;65045121;1724012542664609929;OwenJones84;https://twitter.com/OwenJones84/status/1724012542664609929
Mon Nov 13 10:32:01 +0000 2023;1724012230545387896;"Orthodox Jews march in Washington DC in protest of the Israeli genocide of the Palestinian people. https://t.co/Kp5eNcSslC";9;36;107;353;en;3247652319;1724012230545387896;clashreport;https://twitter.com/clashreport/status/1724012230545387896
Mon Nov 13 10:24:05 +0000 2023;1724010235340489207;"@ravishndtv I saw the program Ravish did on Parali burning. It's on his YT channel. The video is right between his videos on Bengal Violence and Kashmir Genocide.";0;2;67;387;en;1422052101396389888;1723957450821230870;total_woke_;https://twitter.com/total_woke_/status/1724010235340489207
Mon Nov 13 10:22:48 +0000 2023;1724009915012771883;"John Oliver’s show on Israel and Palestine was predictably liberally middling and yet he was still able to call for a ceasefire and condemn Netanyahu.  Which again shows just how bad Biden is with his shit. He wants the genocide.";1;1;27;220;en;1526409344;1724009915012771883;FeoUltima;https://twitter.com/FeoUltima/status/1724009915012771883
Mon Nov 13 10:17:26 +0000 2023;1724008563549392995;"“Why are you here?   “To tell Israel Stop k!lling Gaza”  History is watching you war criminals, zionists. You can’t hide your crime   #Gaza_Genocide #FreePalestineFromIsrael #FreePalestine #Israel #Gaza https://t.co/1NX31ZFrh4";5;7;61;240;en;1454519588083798022;1724008563549392995;Media_Tak1;https://twitter.com/Media_Tak1/status/1724008563549392995
Mon Nov 13 10:14:18 +0000 2023;1724007775066362334;"@DrEliDavid “We don’t call for genocide”  You don’t need to.  It’s already happening!";2;30;100;922;en;237752999;1723827245851037966;AbuHafsah1;https://twitter.com/AbuHafsah1/status/1724007775066362334
Mon Nov 13 10:07:10 +0000 2023;1724005977567965695;"Very interesting article by former UK ambassador Craig Murray on what would happen if the Genocide Convention were activated. #Gaza   https://t.co/lOwxrHRgQM";17;20;255;424;en;1246440482760085504;1724005977567965695;Stella_Assange;https://twitter.com/Stella_Assange/status/1724005977567965695
