"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Dec 07 07:35:15 +0000 2023","1732665054594826587","Pilih 2 bayar 100RB Flanel erigo  https://t.co/na7dYrYbQi https://t.co/R31gVPpzRp https://t.co/4sCgyNA1ob","0","1","0","0","in","1638384653991305217","1732665054594826587","Minjae_yi","https://twitter.com/Minjae_yi/status/1732665054594826587","https://pbs.twimg.com/media/GAuprqZbUAAoXJF.jpg","Jakarta Capital Region"
"Tue Dec 12 12:55:01 +0000 2023","1734557466451484841","WTS PP ERIGO ASHEL 500rebu...","0","0","0","0","in","1437248040750837763","1734557466451484841","preferacel","https://twitter.com/preferacel/status/1734557466451484841","","di hati ashel"
"Sun Dec 10 05:06:15 +0000 2023","1733714721113850108","Jadi kalian tim Ashel Atau Tim Erigo teman teman??","0","0","3","39","in","1254993747126837248","1733714721113850108","FreyaAddict1","https://twitter.com/FreyaAddict1/status/1733714721113850108","",""
"Mon Dec 11 05:05:24 +0000 2023","1734076896768577911","Pemotretan spesial untuk erigo ✨ https://t.co/sEvD4yRZdV","0","1","0","2","in","166928970","1734076896768577911","grwacia","https://twitter.com/grwacia/status/1734076896768577911","https://pbs.twimg.com/media/GBCtuiDbkAAbQXa.jpg","Hanya Pembaharuan"
"Wed Dec 13 03:27:20 +0000 2023","1734776995492339947","kmrn after zee live erigo harga 2s tb” naik bgt  trs skrg harganya masi naik atau udh turun?","0","3","0","42","in","1394249284736864258","1734776995492339947","vvotanet","https://twitter.com/vvotanet/status/1734776995492339947","","CARA KIRIM MENFESS"
"Tue Dec 12 16:52:18 +0000 2023","1734617181990600754","admin erigo baru y? soalnya lebih seru","0","0","0","0","in","3488763852","1734617181990600754","kinal_lovejkt","https://twitter.com/kinal_lovejkt/status/1734617181990600754","",""
"Tue Dec 12 10:11:32 +0000 2023","1734516325039653320","@viiccc89 Si Azizi ini pirang buat erigo doang apa gimana dah? 😂","0","3","0","9","in","406847409","1734504667747618829","marioledesman","https://twitter.com/marioledesman/status/1734516325039653320","","Bandar Lampung"
"Thu Dec 07 09:36:51 +0000 2023","1732695656345829614","heelppp!!  tolong bantu mimin erigo untuk milih content creator terfavorit wotsss 👇","0","1","3","14","in","1585129534080548865","1732695656345829614","officialSJW48","https://twitter.com/officialSJW48/status/1732695656345829614","",""
"Fri Dec 08 13:44:51 +0000 2023","1733120458802024702","@convomfs saldo gua dikuras erigo x jeketi https://t.co/5IWus3sneJ","0","0","0","0","in","1695637567780343808","1733094429689549079","Essemntials","https://twitter.com/Essemntials/status/1733120458802024702","https://pbs.twimg.com/media/GA1H320bkAAKMm4.jpg","Shania Gracia Harlan"
"Fri Dec 08 15:31:15 +0000 2023","1733147233481269308","Emang boleh natap begituuu??? @N_ShaniJKT48 😠😠😠  Cr: tiktok erigo https://t.co/MA6s3oniFm","0","0","1","11","in","1591492173790605312","1733147233481269308","13tylr","https://twitter.com/13tylr/status/1733147233481269308","https://pbs.twimg.com/ext_tw_video_thumb/1733147215529717760/pu/img/hlQVNhAqiB01Vatl.jpg","Bangkok, Thailand"
