"created_at,""id_str"",""full_text"",""quote_count"",""reply_count"",""retweet_count"",""favorite_count"",""lang"",""user_id_str"",""conversation_id_str"",""username"",""tweet_url"",""image_url"",""location""";;;
"Sun Dec 10 15:55:00 +0000 2023,""1733877985152000143"",""cuma pake kaos lengan panjang dan masker biasa tapi aura bintangnya keluar bgt 😭 cakep bgt jisung! https://t.co/asnDeiydVM"",""6"",""3"",""226"",""1462"",""in"",""1246455583273701376"",""1733877985152000143"",""Jisungfess"",""https://twitter.com/Jisungfess/status/1733877985152000143"",""https://pbs.twimg.com/ext_tw_video_thumb/1733875680004476928/pu/img/lT6ybSYFdmyPOlPa.jpg"",""Rules on likes/carrd.""";;;
"Fri Dec 08 12:29:41 +0000 2023,""1733101542692331893"",""Ambil kaosnya duitnya  semua itu uang rakyat di pakai untuk pencitraan. Tetap pilih no 1.  maklum gak ada kaos &amp"; amplop pemilihnya ikhlas  berharap ridho Allah pilih pemimpin yg  paling amanah &amp;" asli santri bukan 5 tahunan untuk pencitraan. Muslim wajib politik identitas jelas https://t.co/suQ2CvJU5B"",""0"",""3"",""27"",""49"",""in"",""1667213278240706560"",""1733101542692331893"",""alfatih212426"",""https://twitter.com/alfatih212426/status/1733101542692331893"",""https://pbs.twimg.com/ext_tw_video_thumb/1733101483867168768/pu/img/8fFDPDLGOxxH7lej.jpg"",""""";
"Fri Dec 08 12:17:47 +0000 2023,""1733098546000179548"",""@pagarhijaumnhn #JumatKaosBand kaos @Losjantospanx pemberian dari @strikexattack 😁 https://t.co/QyyoBSktrB"",""6"",""14"",""4"",""2"",""in"",""1147229598830120960"",""1733092867730743528"",""FqhNugroho"",""https://twitter.com/FqhNugroho/status/1733098546000179548"",""https://pbs.twimg.com/media/GA0z8BRaYAAqkGZ.jpg"",""Surakarta, Jawa Tengah""";;;
"Thu Dec 14 03:15:33 +0000 2023,""1735136414214619210"",""Teman teman  untuk yang belum dapat kaos.. pembagian kaos #GasssGanjarMahfud jilid III di laksanakan awal tahun ya. Karena sebagian dari anggota tim termasuk saya memasuki bulan perayaan Natal agak sedikit sibuk.. maklum penjaja ayat suci juga 😆"",""6"",""108"",""78"",""483"",""in"",""1394912376814665730"",""1735136414214619210"",""BangPakat"",""https://twitter.com/BangPakat/status/1735136414214619210"","""",""PALANGKARAYA""";;;
"Sun Dec 10 17:02:46 +0000 2023,""1733895041750618182"",""pilih  no 2   Mereka Dari Daerah Pangandaran Alhamdulillah 20 kaos  sdh sampai   Selagi saya msh di ksh Rejeki  10 Lusin habis  u berbagi tidak perlu Cari Muka ke Bapak @prabowo  &amp";" saya bergerak sendiri walaw  bnyk yg mnghalangi nya .  Yg ptg #PrabowoGibran2024  mnang 😘 https://t.co/lnuLSTPhJL"",""1"",""24"",""28"",""82"",""in"",""1695192728173187072"",""1733895041750618182"",""drReUtari08"",""https://twitter.com/drReUtari08/status/1733895041750618182"",""https://pbs.twimg.com/ext_tw_video_thumb/1733895008812666880/pu/img/fcZQioov5mGeFJ_5.jpg"",""""";;
"Tue Dec 12 10:37:18 +0000 2023,""1734522810767417605"",""ENHYPEN PLEASE KALIAN STOP PAKE KAOS KUTANG  KASIAN INI ENGENE PADA GILA https://t.co/7lUR80FfEf"",""1"",""6"",""8"",""113"",""in"",""1640973596905594882"",""1734522810767417605"",""jayjongalaxy"",""https://twitter.com/jayjongalaxy/status/1734522810767417605"",""https://pbs.twimg.com/tweet_video_thumb/GBJDTGAbQAAclw9.jpg"",""enville | libra""";;;
"Mon Dec 11 01:28:15 +0000 2023,""1734022249764757918"",""Semarang ikutan yukh..👇  Senam Gasss (Giat Aktif Sosialisasi Secara Sehat) Ganjar Mahfud..  Ojok lali Sabtu yo… Saya datang bawa 100 Kaos #GasssGanjarMahfud 🤟 https://t.co/hxsu3ewC8P"",""1"",""27"",""80"",""265"",""in"",""1394912376814665730"",""1734022249764757918"",""BangPakat"",""https://twitter.com/BangPakat/status/1734022249764757918"",""https://pbs.twimg.com/media/GBB8CuwbIAAxaVP.jpg"",""PALANGKARAYA""";;;
"Sat Dec 09 15:36:42 +0000 2023,""1733510994947928336"",""Iya  mohon jangan dilupakan. Itu kesalahan kami karena telah menjual kaos tanpa mempertimbangkan dampaknya. Berkat kritik dan dukungan dari kawan-kawan  kami memutuskan untuk menghentikan peredarannya dan membatalkan semua pesanan kaos tersebut. Kami tidak menuai pendapatan…"",""96"",""142"",""529"",""5164"",""in"",""1495326248100589569"",""1733510994947928336"",""neohistoria_id"",""https://twitter.com/neohistoria_id/status/1733510994947928336"","""",""Jakarta Selatan, DKI Jakarta""";;;
"Thu Dec 07 10:59:42 +0000 2023,""1732716510039490965"",""Aku tidak asing dengan kaos hitam nya ~~ #KYUHYUN https://t.co/KRdwQ7x0Pi"",""0"",""1"",""10"",""59"",""in"",""266647303"",""1732716510039490965"",""chokyu_88_"",""https://twitter.com/chokyu_88_/status/1732716510039490965"",""https://pbs.twimg.com/media/GAvYel1a4AAxW4d.jpg"",""Gwanghwamun """;;;
"Fri Dec 08 07:41:56 +0000 2023,""1733029126574063719"",""Militansi pendukung #GanjarMahfud itu nyata &amp";" otentik  tnp skenario drama buka baju kaos bayaran.  Basis pemilih Si Ngkong - Samsul hny berbasis sektarian  ngndelin dukungan dari klmpok2 trtentu yg memiliki kepentingan khusus.  Jadi  emang jelas bedanya.  https://t.co/cUyYcjM2X9"",""0"",""15"",""66"",""239"",""in"",""1378303273166233602"",""1733029126574063719"",""_BungHerwin"",""https://twitter.com/_BungHerwin/status/1733029126574063719"",""https://pbs.twimg.com/ext_tw_video_thumb/1733007584037421056/pu/img/jBC1SvduHTtOw4FB.jpg"",""""";;
